,bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
0,61630,30,ABX32,2,Engrossed,20090112,VLF state parks fee: fuel taxes: emergency services,"An act to add Section 8587.3 to the Government Code, to add Section 16031 to the Insurance Code, to add Section 5010.3 to the Public Resources Code, to amend Sections 30005.5, 30016, 30104, 30108, 30165.1, 30181, and 30436 of, to add Sections 7374, 10751.5, and 60709 to, to add Article 2.5 (commencing with Section 30130.3) to Chapter 2 of Part 13 of, to add Part 21 (commencing with Section 42001) to, to repeal Chapter 2 (commencing with Section 7360) of Part 2 of, and to repeal Chapter 2 (commencing with Section 60050) of Part 31 of, Division 2 of, the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",0,,20091026,Died Concurrence pending.,https://legiscan.com/CA/bill/ABX32/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=abx3_2&sess=0910&house=A
1,59922,30,AB54,1,Introduced,20081204,State government: California Emergency Management Agency.,An act relating to the California Emergency Management Agency.,0,,20100202,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,https://legiscan.com/CA/bill/AB54/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_54&sess=0910&house=A
2,59931,30,AB63,4,Passed,20090806,Service contracts: retailers.,"An act to add Section 1794.45 to the Civil Code, relating to service contracts.",0,,20090806,"Chaptered by Secretary of State - Chapter 74, Statutes of 2009.",https://legiscan.com/CA/bill/AB63/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_63&sess=0910&house=A
3,61766,30,ABX76,1,Introduced,20091029,Water diversion and use: reporting.,"An act to amend Sections 5100, 5101, 5103, and 5107 of, to add Chapter 2.7 (commencing with Section 348) to Division 1 of, and to repeal Section 5108 of, the Water Code, relating to water diversion.",0,,20091104,From committee without further action.,https://legiscan.com/CA/bill/ABX76/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=abx7_6&sess=0910&house=A
4,59959,30,AB91,4,Passed,20091011,Vehicles: driving under the influence (DUI): ignition,"An act to amend Sections 13386 and 23576 of, and to add and repeal Chapter 5 (commencing with Section 23700) of Division 11.5 of, the Vehicle Code, relating to vehicles.",0,,20091011,"Chaptered by Secretary of State - Chapter 217, Statutes of 2009.",https://legiscan.com/CA/bill/AB91/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_91&sess=0910&house=A
5,59995,30,AB127,2,Engrossed,20100125,Volunteer service: Office of California Volunteers and,"An act to amend Section 3111 of, to add Article 2.5 (commencing with Section 3116) to Chapter 8.5 of Division 4 of Title 1 of, and to repeal and add Article 2 (commencing with Section 3113) of Chapter 8.5 of Division 4 of Title 1 of, the Government Code, relating to volunteer service.",0,,20100812,In committee: Held under submission.,https://legiscan.com/CA/bill/AB127/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_127&sess=0910&house=A
6,60024,30,AB156,1,Introduced,20090126,High school curriculum: volunteer service.,"An act to amend Section 51225.3 of the Education Code, relating to high school curriculum.",0,,20100202,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,https://legiscan.com/CA/bill/AB156/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_156&sess=0910&house=A
7,60036,30,AB168,1,Introduced,20090128,Juvenile case files: sexually violent predator,"An act to amend Sections 781 and 827 of the Welfare and Institutions Code, relating to juveniles.",0,,20100202,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,https://legiscan.com/CA/bill/AB168/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_168&sess=0910&house=A
8,60064,30,AB196,2,Engrossed,20090504,Emergency services.,"An act to add Sections 8587.3 and 8587.4 to the Government Code, and to add Section 16031 to the Insurance Code, relating to emergency services, and declaring the urgency thereof, to take effect immediately.",0,,20090912,Read third time. Urgency clause refused adoption. (Ayes 25. Noes 7. Page 2449.),https://legiscan.com/CA/bill/AB196/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_196&sess=0910&house=A
9,60103,30,AB235,4,Passed,20091011,Emergency services and care.,"An act to amend Section 1317.1 of, and to add Section 1317.4a to, the Health and Safety Code, relating to emergency services.",0,,20091011,"Chaptered by Secretary of State - Chapter 423, Statutes of 2009.",https://legiscan.com/CA/bill/AB235/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_235&sess=0910&house=A
10,60115,30,AB247,4,Passed,20090806,Child abuse reporting: availability of information.,"An act to amend Section 11170 of the Penal Code, relating to child abuse.",0,,20090806,"Chaptered by Secretary of State - Chapter 91, Statutes of 2009.",https://legiscan.com/CA/bill/AB247/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_247&sess=0910&house=A
11,60117,30,AB249,5,Vetoed,20091011,Health facilities: marking patient devices.,"An act to amend Section 1289.4 of the Health and Safety Code, relating to health facilities.",0,,20100114,Consideration of Governor's veto stricken from file.,https://legiscan.com/CA/bill/AB249/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_249&sess=0910&house=A
12,60122,30,AB254,4,Passed,20091011,Emergency vehicles: payment of tolls: exemptions.,"An act to amend Section 23301 of, and to add Section 23301.5 to, the Vehicle Code, relating to vehicles.",0,,20091011,"Chaptered by Secretary of State - Chapter 425, Statutes of 2009.",https://legiscan.com/CA/bill/AB254/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_254&sess=0910&house=A
13,60125,30,AB257,2,Engrossed,20090528,Elections: reporting irregularities.,"An act to add Section 16001 to the Elections Code, relating to elections.",0,,20090827,In committee: Held under submission.,https://legiscan.com/CA/bill/AB257/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_257&sess=0910&house=A
14,60156,30,AB288,2,Engrossed,20090504,Redevelopment: pooled housing funds: emergency shelters,"An act to amend Sections 33021, 33334.3, and 33413 of, and to add Section 33334.35 to, the Health and Safety Code, relating to redevelopment.",0,,20100629,In committee: Set second hearing. Failed passage. Reconsideration granted.,https://legiscan.com/CA/bill/AB288/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_288&sess=0910&house=A
15,61667,30,ABX339,2,Engrossed,20090628,VLF state parks fee: fuel taxes: emergency services,"An act to add Section 8587.3 to the Government Code, to add Section 16031 to the Insurance Code, to add Section 5010.3 to the Public Resources Code, to amend Sections 30005.5, 30016, 30104, 30108, 30165.1, 30181, and 30436 of, to add Sections 7374, 10751.5, and 60709 to, to add Article 2.5 (commencing with Section 30130.3) to Chapter 2 of Part 13 of, to add Part 21 (commencing with Section 42001) to, to repeal Chapter 2 (commencing with Section 7360) of Part 2 of, and to repeal Chapter 2 (commencing with Section 60050) of Part 31 of, Division 2 of, the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",0,,20091027,From Senate committee without further action.,https://legiscan.com/CA/bill/ABX339/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=abx3_39&sess=0910&house=A
16,60228,30,AB360,1,Introduced,20090223,State teachers' retirement: creditable service:,An act relating to teacher's retirement.,0,,20100202,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,https://legiscan.com/CA/bill/AB360/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_360&sess=0910&house=A
17,61711,30,ABX383,1,Introduced,20090910,Housing and Emergency Shelter Trust Fund of 2006:,"An act relating to housing, and making an appropriation therefor.",0,,20091026,Died at Desk.,https://legiscan.com/CA/bill/ABX383/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=abx3_83&sess=0910&house=A
18,60255,30,AB387,1,Introduced,20090223,Commission on Peace Officer Standards and Training:,"An act to add Section 13510.6 to the Penal Code, relating to the Commission on Peace Officer Standards and Training.",0,,20100202,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,https://legiscan.com/CA/bill/AB387/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_387&sess=0910&house=A
19,60291,30,AB423,5,Vetoed,20091011,Emergency telephone systems.,"An act to amend Sections 53114.2, 53115.1, and 53115.2 of the Government Code, relating to emergency telephone systems.",0,,20100114,Consideration of Governor's veto stricken from file.,https://legiscan.com/CA/bill/AB423/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_423&sess=0910&house=A
20,60305,30,AB437,1,Introduced,20090224,Mobile telephony service.,"An act to add Section 2887 to the Public Utilities Code, relating to telecommunications.",0,,20100202,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,https://legiscan.com/CA/bill/AB437/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_437&sess=0910&house=A
21,60326,30,AB458,2,Engrossed,20090514,Vehicles: peace officer vehicles: window tinting or,"An act to add Section 26708.7 to the Vehicle Code, relating to vehicles.",490,Senate Transportation and Housing,20100114,"From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Com. on T. & H.",https://legiscan.com/CA/bill/AB458/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_458&sess=0910&house=A
22,60340,30,AB472,5,Vetoed,20091011,Earthquake and emergency preparedness.,"An act to add Section 8596.5 to the Government Code, relating to earthquake and emergency preparedness.",0,,20100114,Consideration of Governor's veto stricken from file.,https://legiscan.com/CA/bill/AB472/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_472&sess=0910&house=A
23,60344,30,AB476,5,Vetoed,20091011,Standardized Testing and Reporting Program.,"An act to add Section 60649.1 to the Education Code, relating to the Standardized Testing and Reporting Program.",0,,20100114,Consideration of Governor's veto stricken from file.,https://legiscan.com/CA/bill/AB476/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_476&sess=0910&house=A
24,60377,30,AB509,2,Engrossed,20090420,Vehicles: fleeing a peace officer.,"An act to amend Section 2800.2 of, and to add Section 2800.25 to, the Vehicle Code, relating to vehicles.",0,,20090707,"In committee: Set, second hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB509/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_509&sess=0910&house=A
25,60396,30,AB528,4,Passed,20090806,Local government: reorganization: expenditure reporting.,"An act to amend Sections 56100.1, 56700.1, 57009, and 82035.5 of the Government Code, relating to local government.",0,,20090806,"Chaptered by Secretary of State - Chapter 113, Statutes of 2009.",https://legiscan.com/CA/bill/AB528/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_528&sess=0910&house=A
26,60406,30,AB538,5,Vetoed,20090805,Emergency telephone system: abuse.,"An act to amend Section 653y of the Penal Code, relating to crimes.",0,,20100114,Consideration of Governor's veto stricken from file.,https://legiscan.com/CA/bill/AB538/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_538&sess=0910&house=A
27,60450,30,AB582,1,Introduced,20090225,Courts: complex case fees.,"An act to amend Section 70616 of the Government Code, relating to courts.",0,,20100202,Died at Desk.,https://legiscan.com/CA/bill/AB582/2009,http://www.leginfo.ca.gov/cgi-bin/postquery?bill_number=ab_582&sess=0910&house=A
