Measure,Session Year,Subject,Author,Status
AB-1,2009 - 2010,Teachers: program of professional growth: conflict resolution.,Monning,Vetoed
ABX1-1,2009 - 2010,Taxation: corporate reorganizations: built-in losses.,Charles Calderon,Assembly - Died
ABX2-1,2009 - 2010,State employment: salary freeze.,Portantino,Assembly - Died
ABX3-1,2009 - 2010,2009–10 Budget.,Evans,Senate - Died
ABX4-1,2009 - 2010,Budget Act of 2009: revisions.,Evans,Chaptered
ABX5-1,2009 - 2010,School accountability.,Solorio,Assembly - Died
ABX6-1,2009 - 2010,Taxation: Oil Industry Fair Share Act.,Nava,Assembly - Died
ABX7-1,2009 - 2010,Public resources.,Fuller,Assembly - Died - Rules
ABX8-1,2009 - 2010,Budget Act of 2009.,Committee on Budget,Chaptered
AB-1,2011 - 2012,Education finance: CalWORKs Stage 3.,John A. Pérez,Assembly - Died
ABX1-1,2011 - 2012,State employment: salary freeze.,Portantino,Assembly - Died
AB-1,2013 - 2014,Water quality: integrated plan: Salinas Valley.,Alejo,Assembly - Died - Appropriations
ABX1-1,2013 - 2014,Medi-Cal: eligibility.,John A. Pérez,Chaptered
AB-1,2015 - 2016,Drought: local governments: fines.,Brown,Chaptered
ABX1-1,2015 - 2016,Transportation funding.,Alejo,Assembly - Died
ABX2-1,2015 - 2016,Developmental services: Medi-Cal: funding.,Thurmond,Chaptered
AB-1,2017 - 2018,Transportation funding.,Frazier,Assembly - Died - Transportation
AB-1,2019 - 2020,Youth athletics: California Youth Football Act.,Cooper,Chaptered
AB-1,2021 - 2022,Hazardous waste.,Cristina Garcia,Assembly - Appropriations
AB-2,2009 - 2010,Individual health care coverage.,De La Torre,Vetoed
ABX1-2,2009 - 2010,"Sales, use, income, fuel, and oil severance taxes.",Evans,Vetoed
ABX2-2,2009 - 2010,Lending.,Lieu,Assembly - Died
ABX3-2,2009 - 2010,VLF state parks fee: fuel taxes: emergency services surcharge: cigarettes and other tobacco products tax: oil severance tax.,Evans,Assembly - Died
ABX4-2,2009 - 2010,Education.,Evans,Chaptered
ABX5-2,2009 - 2010,Public schools: Race to the Top application.,Coto,Assembly - Died
ABX6-2,2009 - 2010,State employment: salary freeze.,Portantino,Assembly - Died
ABX7-2,2009 - 2010,Environment: environmental mitigation.,Blakeslee,Assembly - Died - Rules
ABX8-2,2009 - 2010,Budget Act of 2010.,Committee on Budget,Vetoed
AB-2,2011 - 2012,Postsecondary education: Educational and Economic Goals for California Higher Education.,Portantino,Senate - Died - Appropriations
ABX1-2,2011 - 2012,State Air Resources Board: alternative actions to assessing penalties.,Logue,Assembly - Died
AB-2,2013 - 2014,Sex offenders: parole violations.,Morrell,Assembly - Died - Public Safety
ABX1-2,2013 - 2014,Health care coverage.,Pan,Chaptered
AB-2,2015 - 2016,Community revitalization authority.,Alejo,Chaptered
ABX1-2,2015 - 2016,Transportation projects: comprehensive development lease agreements.,Perea,Assembly - Died
ABX2-2,2015 - 2016,Medi-Cal and developmental services: funding: rates.,Bonta,Senate - Died - Rules
AB-2,2017 - 2018,Hate crimes: peace officers.,Obernolte,Assembly - Died - Public Safety
AB-2,2019 - 2020,Community colleges: California College Promise.,Santiago,Chaptered
AB-2,2021 - 2022,Regulations: legislative review: regulatory reform.,Fong,Assembly - Accountability and Administrative Review
AB-3,2009 - 2010,Workforce development: Renewable Energy Workforce Readiness Initiative: local workforce investment boards.,V. Manuel Perez,Vetoed
ABX1-3,2009 - 2010,Office of Statewide Health Planning and Development: plan review.,Evans,Vetoed
ABX2-3,2009 - 2010,Air pollution: grants: farm equipment.,Galgiani,Senate - Died
ABX3-3,2009 - 2010,Income taxes: sales and use taxes: vehicle license fees.,Evans,Chaptered
ABX4-3,2009 - 2010,Education finance.,Evans,Chaptered
ABX5-3,2009 - 2010,Charter schools.,Torlakson,Assembly - Died
ABX6-3,2009 - 2010,Economic development.,Blakeslee,Assembly - Died
ABX7-3,2009 - 2010,California regional water quality control boards.,Jeffries,Assembly - Died - Rules
ABX8-3,2009 - 2010,Fines and forfeitures: forensic laboratories: Alcohol Beverage Control Fund: inmate education.,Committee on Budget,Chaptered
AB-3,2011 - 2012,Vehicles: confidential home addresses: citations.,Miller,Assembly - Died - Appropriations
ABX1-3,2011 - 2012,Regulations: 5-year review and report.,Logue,Assembly - Died
AB-3,2013 - 2014,Income taxes: credits: film.,Bocanegra,Assembly - Died - Rules
ABX1-3,2013 - 2014,California Health Benefit Exchange: employees and contractors.,Conway,Assembly - Died
AB-3,2015 - 2016,Isla Vista Community Services District.,Williams,Chaptered
ABX1-3,2015 - 2016,Transportation funding.,Frazier,Legislature - Died
ABX2-3,2015 - 2016,Developmental services: provider rates: minimum wage.,Chu,Assembly - Died
AB-3,2017 - 2018,Firearms: age restrictions.,Bonta,Senate - Died - Appropriations
AB-3,2019 - 2020,Cannabis: Adolescent Cannabis Prevention Fund.,Cooper,Assembly - Died - Appropriations
AB-3,2021 - 2022,Exhibition of speed on a highway: punishment.,Fong,Senate - Pending Referral
AB-4,2009 - 2010,Constitutional convention: delegates.,Blakeslee,Assembly - Died - Judiciary
ABX1-4,2009 - 2010,Budget Act of 2008.,Evans,Vetoed
ABX2-4,2009 - 2010,Public contracts: design-build: public-private partnerships.,Niello,Senate - Died
ABX3-4,2009 - 2010,Transportation finance.,Evans,Assembly - Died
ABX4-4,2009 - 2010,Human services.,Evans,Chaptered
ABX5-4,2009 - 2010,Chino Valley Unified School District: minimum schoolday.,Hagman,Assembly - Died
ABX6-4,2009 - 2010,Income taxation: exclusion: grants for specified energy property.,V. Manuel Perez,Assembly - Died
ABX7-4,2009 - 2010,State Water Resources Control Board: water quality certifications.,Jeffries,Assembly - Died - Rules
ABX8-4,2009 - 2010,Social services.,Committee on Budget,Assembly - Died
AB-4,2011 - 2012,Human remains: hydrolysis.,Miller,Assembly - Died - Appropriations
ABX1-4,2011 - 2012,Regulations: effective date.,Logue,Assembly - Died
AB-4,2013 - 2014,State government: federal immigration policy enforcement.,Ammiano,Chaptered
ABX1-4,2013 - 2014,Health care.,Wilk,Assembly - Died
AB-4,2015 - 2016,Vehicle weight fees: transportation bond debt service.,Linder,Assembly - Died - Transportation
ABX1-4,2015 - 2016,Transportation funding.,Frazier,Senate - Died - Rules
ABX2-4,2015 - 2016,Managed care organization provider tax.,Levine,Assembly - Died - Public Health and Developmental Services
AB-4,2017 - 2018,Voter notification.,Waldron,Chaptered
AB-4,2019 - 2020,Medi-Cal: eligibility.,Arambula,Senate - Died - Health
AB-4,2021 - 2022,Medi-Cal: eligibility.,Arambula,Assembly - Appropriations
AB-5,2009 - 2010,Civil discovery: Electronic Discovery Act.,Evans,Chaptered
ABX1-5,2009 - 2010,Transportation projects.,Evans,Vetoed
ABX2-5,2009 - 2010,Employment: alternative workweek schedules.,Gaines,Chaptered
ABX3-5,2009 - 2010,Health.,Evans,Chaptered
ABX4-5,2009 - 2010,Health.,Evans,Chaptered
ABX5-5,2009 - 2010,Education: teacher credentialing.,Nestande,Assembly - Died
ABX6-5,2009 - 2010,Income tax credit: qualified principal residence.,Caballero,Assembly - Died
ABX7-5,2009 - 2010,State Water Resources Development System: Delta Corridors Plan.,Bill Berryhill,Assembly - Died - Rules
ABX8-5,2009 - 2010,State cash resources.,Committee on Budget,Chaptered
AB-5,2011 - 2012,Teachers: best practices teacher evaluation system.,Fuentes,Senate - Died
